parameter	soort_nl	soort_wet	jaar_min	jaar_max	mean	sd	lcl_0.95	ucl_0.95	lcl_0.30	lcl_0.60	lcl_0.90	ucl_0.30	ucl_0.60	ucl_0.90	periode_tekst	n_jaar	treshold_low	treshold_high	klasse	mean_log	lcl_0.90_log	ucl_0.90_log	soort_periode	type_model
trend_average	Boomkikker	Hyla arborea	2016	2024	5.48448	2.33999	0.961478	10.1571	4.55314	3.49749	1.66692	6.36152	7.44819	9.38927	2016 - 2024	9	-5.6	5.9	2	0.0533937	0.0165318	0.0897426	Boomkikker_2016_2024	NA
trend_average	Kamsalamander	Triturus cristatus	2017	2023	0.925487	5.69825	-9.81825	12.579	-1.4167	-3.9282	-8.19939	2.97326	5.66725	10.5905	2017 - 2023	7	-5.6	5.9	10	0.0092123	-0.0855512	0.100664	Kamsalamander_2017_2023	NA
trend_average	Knoflookpad	Pelobates fuscus	2019	2024	-2.32036	10.333	-21.488	19.1619	-6.63958	-11.115	-18.653	1.27188	6.19472	15.3714	2019 - 2024	6	-5.6	5.9	10	-0.0234771	-0.206446	0.142986	Knoflookpad_2019_2024	NA
trend_average	Rugstreeppad	Epidalea calamita	2019	2024	20.1957	13.6585	-4.39541	49.2675	14.2885	8.52777	-0.926184	24.7185	31.3538	43.9755	2019 - 2024	6	-5.6	5.9	8	0.183951	-0.009305	0.364473	Rugstreeppad_2019_2024	no offset
trend_average	Rugstreeppad	Epidalea calamita	2019	2024	14.9099	16.2366	-13.5253	50.2154	7.70526	1.03413	-9.68054	20.0191	28.007	43.5514	2019 - 2024	6	-5.6	5.9	10	0.138978	-0.101817	0.361523	Rugstreeppad_2019_2024	offset
trend_average	Vroedmeesterpad	Alytes obstetricans	2019	2024	35.8342	4.9714	26.353	45.8926	33.8201	31.6053	27.8048	37.6558	39.9874	44.2048	2019 - 2024	6	-5.6	5.9	1	0.306265	0.245334	0.366065	Vroedmeesterpad_2019_2024	NA
trend_average	Vuursalamander	Salamandra salamandra	2016	2024	8.00687	1.75089	4.61581	11.5437	7.31902	6.54257	5.16481	8.6441	9.44956	10.9335	2016 - 2024	9	-5.6	5.9	2	0.0770247	0.0503585	0.103761	Vuursalamander_2016_2024	NA
trend_total	Boomkikker	Hyla arborea	2016	2024	55.4144	27.7822	7.94077	116.833	42.7843	31.6471	14.1268	63.7858	77.6647	105.031	2016 - 2024	9	-25	33	2	0.440925	0.13214	0.717989	Boomkikker_2016_2024	NA
trend_total	Kamsalamander	Triturus cristatus	2017	2023	10.8476	38.5224	-46.2484	103.614	-8.224	-21.398	-40.1845	19.2129	39.2035	82.9602	2017 - 2023	7	-25	33	10	0.102986	-0.513905	0.604099	Kamsalamander_2017_2023	NA
trend_total	Knoflookpad	Pelobates fuscus	2019	2024	-0.704719	55.02	-70.2573	140.318	-29.1249	-44.5836	-64.4611	6.49638	35.0483	104.439	2019 - 2024	6	-25	33	10	-0.00707214	-1.03454	0.7151	Knoflookpad_2019_2024	NA
trend_total	Rugstreeppad	Epidalea calamita	2019	2024	185.185	174.295	-20.445	641.175	94.7867	50.3173	-4.84159	201.634	290.975	518.735	2019 - 2024	6	-25	33	8	1.04797	-0.0496272	1.82251	Rugstreeppad_2019_2024	no offset
trend_total	Rugstreeppad	Epidalea calamita	2019	2024	144.212	194.248	-52.1106	665.008	44.6019	4.89849	-40.3371	148.794	243.538	509.643	2019 - 2024	6	-25	33	10	0.892866	-0.516461	1.8077	Rugstreeppad_2019_2024	offset
trend_total	Vroedmeesterpad	Alytes obstetricans	2019	2024	368.664	86.4851	222.009	560.982	329.13	294.765	240.945	394.279	437.591	523.618	2019 - 2024	6	-25	33	1	1.54472	1.22655	1.83037	Vroedmeesterpad_2019_2024	NA
trend_total	Vuursalamander	Salamandra salamandra	2016	2024	86.5568	24.3579	43.4654	139.649	75.9563	66.024	49.602	94.1106	105.929	129.359	2016 - 2024	9	-25	33	1	0.623565	0.402808	0.830117	Vuursalamander_2016_2024	NA
