parameter	soort_nl	soort_wet	jaar	ref_jaar	jaar_centered	mean	sd	lcl_0.30	lcl_0.60	lcl_0.90	lcl_0.95	ucl_0.30	ucl_0.60	ucl_0.90	ucl_0.95
diff_previous_year	Rivierrombout	Gomphus flavipes	2016	2016	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
diff_previous_year	Rivierrombout	Gomphus flavipes	2017	2016	2	1.97393	0.555599	1.73411	1.47002	1.18862	1.09546	2.12742	2.40839	2.95479	3.18733
diff_previous_year	Rivierrombout	Gomphus flavipes	2018	2016	3	2.27871	0.567738	2.00987	1.81887	1.50193	1.40375	2.40031	2.72134	3.32319	3.64191
diff_previous_year	Rivierrombout	Gomphus flavipes	2019	2016	4	1.92248	0.454413	1.71439	1.53605	1.28921	1.21027	2.04971	2.26709	2.70973	2.92916
diff_previous_year	Rivierrombout	Gomphus flavipes	2020	2016	5	0.736239	0.194486	0.649297	0.563894	0.451406	0.414179	0.791236	0.903052	1.08257	1.16076
diff_previous_year	Rivierrombout	Gomphus flavipes	2021	2016	6	1.14845	0.297621	0.995141	0.898755	0.745614	0.686347	1.21845	1.37649	1.69314	1.79957
diff_previous_year	Rivierrombout	Gomphus flavipes	2022	2016	7	1.36563	0.324792	1.20979	1.08926	0.926711	0.847572	1.44951	1.60465	1.98165	2.16988
diff_previous_year	Rivierrombout	Gomphus flavipes	2023	2016	8	1.16464	0.275157	1.04034	0.943079	0.782515	0.713897	1.22799	1.36859	1.67175	1.76463
diff_previous_year	Rivierrombout	Gomphus flavipes	2024	2016	9	0.675768	0.166566	0.598107	0.532373	0.442752	0.411062	0.725205	0.801829	0.961531	1.05079
diff_previous_year	Rivierrombout	Gomphus flavipes	2025	2016	10	0.824018	0.211744	0.728478	0.642066	0.521282	0.480995	0.887199	0.978576	1.19527	1.3213
index	Rivierrombout	Gomphus flavipes	2016	2016	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
index	Rivierrombout	Gomphus flavipes	2017	2016	2	1.97393	0.555599	1.73411	1.47002	1.18862	1.09546	2.12742	2.40839	2.95479	3.18733
index	Rivierrombout	Gomphus flavipes	2018	2016	3	4.40571	1.37417	3.76562	3.21573	2.47638	2.23603	4.75235	5.40509	6.91183	7.71312
index	Rivierrombout	Gomphus flavipes	2019	2016	4	8.27837	2.69437	7.01963	6.01768	4.63296	3.97343	8.88734	10.3818	13.2273	14.5335
index	Rivierrombout	Gomphus flavipes	2020	2016	5	5.87707	1.92381	4.97121	4.28168	3.32515	2.9566	6.35579	7.20068	9.41666	10.0517
index	Rivierrombout	Gomphus flavipes	2021	2016	6	6.52665	2.08971	5.51975	4.77367	3.74614	3.39755	7.0463	8.00513	10.3922	11.5825
index	Rivierrombout	Gomphus flavipes	2022	2016	7	8.67535	2.78392	7.3376	6.38331	4.94784	4.46219	9.37793	10.636	13.5378	15.0303
index	Rivierrombout	Gomphus flavipes	2023	2016	8	9.89948	3.45465	8.24068	7.14901	5.577	4.98917	10.5354	12.2908	15.7896	18.246
index	Rivierrombout	Gomphus flavipes	2024	2016	9	6.50813	2.28156	5.447	4.64934	3.54167	3.17722	6.9163	8.22216	10.4952	12.1829
index	Rivierrombout	Gomphus flavipes	2025	2016	10	5.1905	1.81073	4.40866	3.78733	2.74023	2.46718	5.57653	6.36889	8.15046	9.49212
