protocol;locatie;jaar;aantal
Lentevuurspin - Gebiedstelling;Balimgronden - Translocatiezone 1;2020;6
Lentevuurspin - Gebiedstelling;Balimgronden - Translocatiezone 1;2021;14
Lentevuurspin - Gebiedstelling;Balimgronden - Translocatiezone 1;2022;17
Lentevuurspin - Gebiedstelling;Balimgronden - Translocatiezone 1;2023;3
Lentevuurspin - Gebiedstelling;Balimgronden - Translocatiezone 2;2020;8
Lentevuurspin - Gebiedstelling;Balimgronden - Translocatiezone 2;2021;38
Lentevuurspin - Gebiedstelling;Balimgronden - Translocatiezone 2;2022;32
Lentevuurspin - Gebiedstelling;Balimgronden - Translocatiezone 2;2023;70
Lentevuurspin - Gebiedstelling;Heuvelse heide;2020;114
Lentevuurspin - Gebiedstelling;Heuvelse heide;2021;143
Lentevuurspin - Gebiedstelling;Heuvelse heide;2022;121
Lentevuurspin - Transect;Balim2020;2020;7
Lentevuurspin - Transect;Balim2020;2021;0
Lentevuurspin - Transect;Balim2020;2022;6
Lentevuurspin - Transect;Balim2020;2023;4
Lentevuurspin - Transect;Balimgronden;2016;78
Lentevuurspin - Transect;Balimgronden;2017;90
Lentevuurspin - Transect;Balimgronden;2018;106
Lentevuurspin - Transect;Blekerheide;2016;47
Lentevuurspin - Transect;Blekerheide;2017;50
Lentevuurspin - Transect;Blekerheide;2018;24
Lentevuurspin - Transect;Blekerheide;2019;38
Lentevuurspin - Transect;Blekerheide;2020;18
Lentevuurspin - Transect;Blekerheide;2021;66
Lentevuurspin - Transect;Blekerheide;2022;24
Lentevuurspin - Transect;Blekerheide;2023;27
Lentevuurspin - Transect;Stort;2016;32
Lentevuurspin - Transect;Stort;2017;38
Lentevuurspin - Transect;Stort;2018;28
Lentevuurspin - Transect;Stort;2019;112
Lentevuurspin - Transect;Stort;2020;82
Lentevuurspin - Transect;Stort;2021;243
Lentevuurspin - Transect;Stort;2022;194
Lentevuurspin - Transect;Stort;2023;135
